State,Total,Year
Michigan,1372082,1928
Minnesota,970976,1928
Mississippi,151692,1928
Missouri,1500721,1928
Montana,194108,1928
Nebraska,547144,1928
Nevada,32417,1928
New Hampshire,196757,1928
New Jersey,1549381,1928
New Mexico,118014,1928
New York,4405626,1928
North Carolina,635150,1928
North Dakota,239867,1928
Ohio,2508346,1928
Oklahoma,618427,1928
Oregon,319942,1928
Pennsylvania,3150610,1928
Rhode Island,237194,1928
South Carolina,68605,1928
South Dakota,261865,1928
Tennessee,363473,1928
Texas,708999,1928
Utah,176603,1928
Vermont,135191,1928
Virginia,305358,1928
Washington,500840,1928
West Virginia,642752,1928
Wisconsin,1016831,1928
Wyoming,82835,1928
Nationwi,29092624,1924
Alabama,162355,1924
Arizona,73961,1924
Arkansas,138532,1924
California,1281900,1924
